Automobiles,"Car, racing, race, motor, auto, parts "
School,"school, institute, educat"
Food / Beverage,"food, pizza, drink, snack, eat"
Consulting / Business Services,"business, mentor, manag, entrepre"
Religion,"bible, pray, faith, god "
Sports,"sport, club, team, "
Gaming,"gaming, game, play"
Health / Fitness,"health, training, fitness"
Blog / Portfolio,"blog, portfolio, my, me, about"
Finance,"money, bank, finance "
Home Design,"furniture, home, house, architecture "
Startups,"innovat, startup"
Online Store,"product, sale, store, online, sell"
Entertainment,"tv, media, entertainment, telev"
Local Business,"service, local, found"
Artist / Band / Public Figure,"source, artist, band, leader "
Music,"music, artist, radio"
Nonprofit,"organi, nonprofit"
Club / Community Organization,"club, friend, social, community"
Parenting,"child, kid, care "
Photography,"pict, photo, camera, imag"
Politics,"congress, politic, govern"
Fashion / Beauty,"mak, cloth, fashion, beaut,style"
Event,event
Science ,science
Media / News,"news, media, article"
Art,"anime, art, gallery, "
Technology,"computer, electronic,solution, intelli"
Travel,"locate, travel, world "
Weddings,"marriage, wedding, husband, wife"
Nature,"weather, climate, natur"
Animals,"shark, dog, cat, pet, animal"